datetime,Change_NQ,Change_ES,Change_YM,SMT_NQ_ES,SMT_NQ_YM,RS,FVG_Bullish,FVG_Bearish,Sweep_High,Sweep_Low,Bullish_Setup,Bearish_Setup,Target
2024-01-02 19:05:00,-0.00016183848519177294,-0.00023311011274055617,-0.0001857650867788153,0,0,0,0,0,0,0,0,0,1
2024-01-02 19:10:00,0.0008466767935852575,0.0003391626921039216,-9.28948695483738e-06,0,1,0,0,0,0,0,0,0,0
2024-01-02 19:15:00,-0.0001617317740731469,-0.00031785721853750526,-0.0001327140013271702,0,0,2,0,0,0,0,0,0,0
2024-01-02 19:20:00,2.488614588256453e-05,-0.0002333813803628721,-0.0003185897095523935,1,1,0,0,0,0,0,0,0,0
2024-01-02 19:25:00,0.0006221536470646791,0.0005090747180053448,0.000371826197811652,0,0,0,0,0,0,0,0,0,0
2024-01-02 19:30:00,-0.00014947274174287995,-0.0002966981731869333,-0.000371717600828363,0,0,0,0,0,0,0,0,0,0
2024-01-02 19:35:00,-0.0006964740998693433,-0.0004195215080558182,-0.00026559719529352713,0,0,2,0,0,0,0,0,0,0
2024-01-02 19:40:00,9.956440572500426e-05,3.647639701420023e-05,-0.000185967429133259,0,1,0,0,0,0,0,0,0,0
2024-01-02 19:45:00,-0.00033601314184730297,-0.0003732371964796686,-0.0002923277259560808,0,0,2,0,0,0,0,0,0,0
2024-01-02 19:50:00,-0.0007965240774862265,-0.0005065976494547271,-0.00034557924397893416,0,0,2,0,0,0,0,0,0,0
2024-01-02 19:55:00,-0.0007226333756946511,-0.00045633994141863353,-0.00026592208482920554,0,0,2,0,0,0,0,0,0,0
2024-01-02 20:00:00,-0.001645762162431659,-0.0006742014428972516,-0.00013299640909698464,0,0,2,0,0,0,1,0,0,1
2024-01-02 20:05:00,0.0003246996528211291,0.00010624282860909305,7.635389150781064e-05,0,0,0,0,0,0,0,0,0,1
2024-01-02 20:10:00,-0.0004244800119853577,-6.37389253617812e-05,0.00013300348469132915,0,1,2,0,0,0,0,0,0,1
2024-01-02 20:15:00,0.0009617186036345243,0.0006692942663791132,0.00029257653536174903,0,0,0,0,0,0,0,0,0,1
2024-01-02 20:20:00,-4.9911407252082084e-05,-0.00016986580601321575,0.0,0,1,2,0,0,0,0,0,0,1
2024-01-02 20:25:00,0.0001497342217563881,6.371049949037878e-05,-5.31844169659318e-05,0,1,0,0,0,0,0,0,0,1
2024-01-02 20:30:00,0.0001871397559698717,2.1235705715691593e-05,0.0001063660054247207,0,0,0,0,0,0,0,0,0,1
2024-01-02 20:35:00,-0.000573780715978591,-0.0003397604688695001,-0.00021217761233723552,0,0,2,0,0,0,0,0,0,1
2024-01-02 20:40:00,0.0007363770250367167,0.0005098247477429826,0.0003723305231243487,0,0,0,0,0,0,0,0,0,1
2024-01-02 20:45:00,0.0007981841311017264,0.0004883227176221193,0.0004519713928695289,0,0,0,0,0,0,0,0,0,1
2024-01-02 20:50:00,0.0017296381218223926,0.0014642220524573417,0.001062981663566243,0,0,0,0,0,0,0,0,0,1
2024-01-02 20:55:00,0.0015673981191222457,0.0014197020744602291,0.001008626410086252,0,0,0,0,0,0,0,0,0,1
2024-01-02 21:00:00,0.0006210100106813722,2.115954295385295e-05,-2.652168147548592e-06,0,1,0,0,0,1,0,0,0,0
2024-01-02 21:05:00,0.0,4.2316399720673274e-05,-7.956293428109468e-05,1,1,1,0,0,0,0,0,0,0
2024-01-02 21:10:00,-0.00024825600158889484,-4.210304498108835e-05,-7.955871433110405e-05,0,0,1,0,0,0,0,0,0,1
2024-01-02 21:15:00,7.449714427620948e-05,-8.463279944146683e-05,-0.00013366913282687048,1,1,0,0,0,0,0,0,0,1
2024-01-02 21:35:00,-9.931472837412758e-05,2.1158647539230047e-05,0.0,1,1,1,0,0,0,0,0,0,1
2024-01-02 21:40:00,0.0001494835121174813,8.462742774925659e-05,-5.303773634936437e-05,0,1,0,0,0,0,0,0,0,0
2024-01-02 21:50:00,-2.4826832841053025e-05,-8.460773737750623e-05,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-02 21:55:00,4.965983016333568e-05,-8.461489645256375e-05,2.6514649343889033e-05,1,0,0,0,0,0,0,0,0,0
2024-01-02 22:05:00,4.965489845582863e-05,-2.115685693743441e-05,2.651183753543547e-05,1,0,0,0,0,0,0,0,0,0
2024-01-02 22:15:00,0.0,6.346922800256566e-05,0.0,1,0,1,1,0,0,0,0,0,0
2024-01-02 22:20:00,-2.4826832841053025e-05,6.346385733331125e-05,0.0,1,1,1,0,0,0,0,0,0,0
2024-01-02 23:15:00,-0.00037243947858467354,-0.00025386617021727674,-5.304195618729595e-05,0,0,2,0,0,0,1,0,0,0
2024-01-02 23:40:00,0.0,4.2316399720673274e-05,-2.6518868174682185e-05,1,1,1,0,1,0,0,0,0,0
2024-01-02 23:45:00,0.0,8.46381718154118e-05,0.0,1,0,1,0,1,0,0,0,0,0
2024-01-02 23:50:00,2.4839166397694303e-05,0.0,0.0,1,1,0,0,0,0,0,0,0,0
2024-01-02 23:55:00,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2024-01-03 00:00:00,-0.0001241804092986573,-6.3467885250126e-05,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-03 00:05:00,-4.967833279510622e-05,-4.231460911875978e-05,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-03 00:40:00,-0.00019872320341799955,-6.157948197060289e-05,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-03 09:05:00,-0.0007970112079700951,-0.0005084638037329911,-0.0001061683830554295,0,0,2,0,0,0,1,0,0,0
2024-01-03 09:10:00,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0
2024-01-03 09:15:00,-0.00022429347555194884,4.2393539224704105e-05,0.0,1,1,1,0,0,0,0,0,0,0
2024-01-03 09:20:00,0.00034885749171460057,-8.475833280363711e-05,0.0,1,1,0,0,0,0,0,0,0,0
2024-01-03 09:45:00,-0.0005486147477618275,-0.00023320401110902,0.0,0,1,2,0,0,0,0,0,0,1
2024-01-03 09:50:00,0.00012477540427219635,6.361862753408413e-05,0.0,0,1,0,0,1,0,0,0,0,1
